gin_id,tvwsi,tvwsi_resid,vh,ndvi,n_obs,rank_published,rank_controlled,rank_shift,area_ha,ecological_value,risk_of_development,corridor_type,target_width_m,priority,recommendation
106,-0.0077078126227881,-0.005325563181540751,0.04548420757668415,0.7284482919009734,4,1,1,0,10.53924648103954,Moderate,Moderate,Regional,50,,"Railway Right of way. Narrow and highly disturbed habitat. Runs through developed residential neighbourhood. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings at Old Yale Rd, 104 Ave, Scott Rd."
2,-0.0041222108967114,-0.004556761697878098,0.03939421531476195,0.7265373617376158,4,3,2,1,2.8825167405812566,Moderate,Moderate,Regional,50,,Moderately disturbed natural area adjacent to railway between established residential development. Connects ocean foreshore to Blackie Spit. North portion protected as park. Protect and enhance remaining natural areas. Restrict human access. Traffic calming and signage for crossing at Beecher Street.
64,-0.002765684205585,-0.004296192175527956,0.03715326137201595,0.6584697963343238,4,4,3,1,4.5796397108426605,Moderate,Low,Regional,60,,Riparian corridor along roadside ditch. Provides connectivity between Serpentine River and Mound Farm Park. Protect land adjacent to riparian setback. Naturalize this area by planting native tree and shrub cover. Traffic calming and signage at 168 St and 164 St.
14,-0.0055195485124575,-0.00398977550889257,0.04367927696572479,0.7480874623489013,8,2,4,-2,1.6197268098576294,Low,Low,Local,20,,"Semiahmoo Trail Greenway. Provides connectivity between Sunnyside Acres and Nicomekl foreshore. Naturalize trail edges. Work with adjacent landowners to naturalize private land and remove barriers to movement. Traffic calming and signage for crossing at 28 Ave, 32 Ave, and 34 Ave."
63,0.0044375237103059,-0.00071847225949146,0.029234151099122772,0.6001886738481832,4,10,5,5,5.477155574350091,Low,Moderate,Local,30,,Riparian area for ditch connecting to the Nicomekl River. Highly disturbed for agriculture. Protect land adjacent to riparian setback and restore tree and shrub cover. Traffic calming and signage at 40 Ave and 32 Ave.
6,0.0003717653810779,0.001053419948670667,0.04168220149091445,0.7925236880680685,4,6,6,0,0.8427058368518752,Moderate,Low,Regional,30,,Narrow protected corridor connecting Huntington Park to Crescent Park. Work with adjacent landowners to naturalize private land and remove barriers to movement. Traffic calming and signage for crossing at 24 Ave.
67,0.0080311116943641,0.0026281429448781913,0.028784757966343524,0.5975142799416325,4,25,7,18,0.2936376610800554,Low,Moderate,Local,30,,Riparian area for Class A ditch connecting to the Serpentine river. Highly disturbed for agriculture. Protect land next to riparian setback and restore tree and shrub cover. Traffic calming and signage at Colebrook Rd. Provides connectivity from the Serpentine River north toward Colebrook Park.
82,0.0095490824532681,0.003078907948985218,0.0263569267985919,0.7635241730056574,4,31,8,23,1.8213621112947531,Moderate,Moderate,Local,30,,Riparian area of Dyked tributary of the Serpentine River. Highly disturbed for agriculture. Protect land adjacent to riparian setback. Naturalize this area by planting native tree and shrub cover. Traffic calming and signage along 168 St.
36,0.0018750584112105,0.0038866760122406906,0.04456054829430765,0.838771293847877,4,7,9,-2,4.560969755381115,High,Moderate,Local,50,★ priority,Riparian corridor for McNally Creek. Partially protected as network of parks. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage for crossings at 10 Ave and 8 Ave.
17,0.009067166016324,0.004090872985610765,0.0296795343827491,0.749755315090282,4,29,10,19,0.3660234950919351,High,Moderate,Regional,30,★ priority,Golf course and subdivision bordering the Nicomekl River. Provides critical east to west movement along the Nicomekl River foreshore. Establish hedge row and enhance tree cover along foreshore. Encourage naturescaping on golf course. Improve wildlife passage under King George Bvd Bridge and Hwy 99 Bridge.
89,0.0002582418475091,0.004463782744012672,0.04936109370772215,0.8098204816489798,4,5,11,-6,13.804512846489914,Low,Moderate,Local,60,,Riparian area for Mahood Creek. Partly protected as park. Work with adjacent landowners to naturalize this area and remove barriers to movement. Traffic calming and signage at 128 St and 132 St.
111,0.0035357849193448,0.005630011506231137,0.04474970830719785,0.86259979631255,4,8,12,-4,4.090170158868629,Moderate,Moderate,Regional,60,,Riparian area for Delta Cr. Mostly protected as park and riparian setbacks. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage at River Road.
52,0.0035715353298414,0.006279435237922939,0.0461216584177805,0.868299587861147,4,9,13,-4,7.7222763998565,High,Moderate,Regional,60,★ priority,Riparian corridor for tributary of Little Campbell River. Partially protected as park. Provides movement east to west south of the Campbell Heights industrial area. East portion proposed to be protected as Hub I. Traffic calming and signage at 192 St.
105,0.0048790441989962,0.006713069352534782,0.044459749511013974,0.8100363192627505,4,12,14,-2,2.433447899058091,Moderate,Moderate,Local,60,,Riparian area for Ronson Cr. Mostly protected as park and riparian setbacks. Work with adjacent landowners to naturalize this area and remove barriers to movement.
16,0.0064991973256318,0.006987058388039504,0.04152497028490455,0.8541159554210579,4,16,15,1,0.3075842684960099,High,High,Regional,50,★ priority,Undisturbed forested riparian habitat. Provides critical east to west movement along the Nicomekl River foreshore. Protect land within 50m of foreshore. Improve wildlife passage under Elgin Rd. Bridge and King George Bvd Bridge.
130,0.0108216039829044,0.007036308864764035,0.03212841344789912,0.7615354694194525,4,38,16,22,7.361579666187003,Moderate,Moderate,Local,60,,Riparian area of lower dyked portion of Latimer Cr. Highly disturbed for agriculture. Protect land adjacent to riparian setback. Naturalize this area by planting native tree and shrub cover. Improve wildlife passage at Harvie Rd.
18,0.0049471352698149,0.007200076951327213,0.0451294092590208,0.848579691617855,4,13,17,-4,2.6632838067339324,Moderate,Moderate,Regional,50,,Riparian corridor partially protected in parks. Connects Sunnyside Acres to Nicomekl foreshore. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage for crossing at King George Bvd. Consider wildlife passage under King George Bvd.
94,0.0055262271144299,0.00826513870597722,0.0463252805512038,0.7501519654974095,4,14,18,-4,5.573378653205439,Moderate,Moderate,Regional,60,,Riparian area for King Creek. Mostly protected as park. Provides connectivity between Bear Creek and Green Timbers Parks. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings at 140 St and 88 Ave.
38,0.007905974579509,0.008423930878184457,0.0412584113833603,0.7718449236368726,4,24,19,5,4.942238474719116,Low,Low,Local,30,,Riparian corridor for Sam Hill Creek. Highly disturbed riparian habitat through agricultural fields. Provides movement through the ALR. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage at 176 St.
20,0.0048452610718077,0.008708479852891918,0.04864759416919425,0.8732715937306643,4,11,20,-9,4.321476572929261,Low,Low,Local,60,,Riparian area for Barbara Creek. Provides local connectivity upland from foreshore. Mostly protected as park. Protect land adjacent to riparian setback in north portion of corridor.
66,0.0099559388708234,0.00880703000991945,0.037916048323301324,0.8281416224294528,4,33,21,12,3.967283604431662,High,Moderate,Regional,60,★ priority,Riparian area of Nicomekl River. Provides last remaining and critical movement corridor between the ALR to the east and natural areas in Sunnyside MU. Protect and enhance remaining natural areas. Improve wildlife passage under Hwy 99 bridge. Traffic calming and signage for crossings at 152 St and 40 Ave.
37,0.011018645484686,0.008883281378427265,0.0358134681006092,0.7974766155423052,4,40,22,18,11.049229505982002,High,Moderate,Regional,100,★ priority,Riparian corridor for Fergus Creek. Includes large natural forested area. Provides habitat for species at risk. Provides connectivity from proposed Hub F to the Little Campbell River system. Protect land adjacent to riparian setback. Work with golf course to enhance natural habitat. Traffic calming and signage for crossings at 8 Ave.
131,0.0071551205768348,0.009117489166701721,0.04447808381832845,0.835306590141361,4,19,23,-4,8.332011172098666,Moderate,Moderate,Local,60,,Riparian area of creek. Protect and enhance land adjacent to riparian setback. Traffic calming and signage at 188 Ave.
126,0.0119345277892005,0.009303663074146668,0.034551595265051124,0.7506444114765322,4,46,24,22,12.711705942117412,Moderate,Moderate,Local,60,,Riparian area of upper Serpentine River. All dyked and highly disturbed for agriculture. Protect land adjacent to riparian setback. Naturalize this area by planting native tree and shrub cover. Improve wildlife passage at Highway 15. Traffic calming and signage at 82 Ave.
129,0.0069080682848654,0.009402975724351283,0.04552599490696833,0.7750500343172175,4,18,25,-7,3.4857313294107795,Moderate,Moderate,Local,30,,Fragmented natural and riparian habitat through an area that is planned for development. Follows planned greenways and sediment ponds. Provides limited connectivity through developed neighbourhood. Traffic calming and signage at 92nd Ave and 187 St.
132,0.0076074333225727,0.009570449636087516,0.0444172502875276,0.8451147315363521,4,22,26,-4,7.369372214855177,High,Moderate,Regional,60,★ priority,Riparian area of Latimer Cr. Mostly forested. Protect and enhance land adjacent to riparian setback. Traffic calming and signage at 192 St and 188 St.
91,0.006681298922332,0.009704722321152753,0.046781529824459975,0.7663145229699536,4,17,27,-10,6.667531114376673,Low,Moderate,Local,60,,Riparian area for creek. Mostly protected as park. Work with adjacent landowners to naturalize this area and remove barriers to movement. Traffic calming and signage at 88 Ave and 132 St.
69,0.0174859619847175,0.009793631859095618,0.023835073585775676,0.6316246695933561,4,78,28,50,2.70668103017897,Moderate,Low,Local,30,,Riparian area for Peacock brook. Highly disturbed for agriculture. Provides connectivity between Serpentine River and Colebrook Park. Protect land adjacent to riparian setback. Restore tree cover along riparian area and provide a movement corridor under Highway 99.
93,0.007167750195858,0.009918316534804624,0.046338339360375375,0.780964087779583,4,20,29,-9,6.078809081216239,Moderate,Low,Local,60,,Riparian area for Quibble Creek. Provides connectivity to Bear Creek Park. Mostly protected as park. Work with adjacent landowners to naturalize this area and remove barriers to movement. Traffic calming and signage for crossings at 92 Ave and 88 Ave.
96,0.0081674955649835,0.01001614944679359,0.04417536066384895,0.7741774636253344,4,26,30,-4,9.31274764142964,Moderate,Moderate,Local,60,,Hydro right of way. This area is mostly field habitat in the yards of residential neighbourhoods. It provides a continuous corridor throughout an established neighbourhood. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Traffic calming and signage for road crossings. Traffic calming and signage at 96 Ave and Fraser Highway.
60,0.0094802540727656,0.010084225030529359,0.04154929972428015,0.8245397143024448,4,30,31,-1,4.580675655450775,Moderate,Moderate,Regional,60,,Riparian corridor for Armstrong Creek. Forested patches fragmented by agricultural fields and residential development. Connects proposed Hub G to the Nikomekl River. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback.
128,0.0122085518223913,0.010123907836330144,0.03582048716638895,0.6850907429567767,4,47,32,15,11.066961013836108,Moderate,Moderate,Regional,50,,Edge buffer to ALR and partial riparian corridor. Includes fragmented natural areas. Provides important edge habitat to ALR field habitat. Provides connectivity between proposed Hub A and Latimer Creek. Established and protect a forested corridor on perimeter of the ALR. Enhance disturbed riparian habitat. Traffic calming and signage along 88 Ave and at 184 St.
87,0.0059408024208703,0.010352550306961417,0.049873641891954104,0.8357916548611339,4,15,33,-18,6.579537637350383,Moderate,Low,Local,60,,Riparian area for creek. Mostly protected as park. Work with adjacent landowners to naturalize this area and remove barriers to movement.
95,0.0072048613004918,0.010417929705753056,0.0472859157402696,0.7298276921296727,4,21,34,-13,13.230505364281184,Moderate,Moderate,Local,60,,"Riparian area for Enver Creek. Mostly protected as park. Connects Bear Creek and Green Timbers Parks. Work with adjacent landowners to naturalize this area and remove barriers to movement. Traffic calming and signage for crossings at 84 Ave, 144 St, 88 Ave."
